noise number; onset time ms; duration ms
1; 1.000000; 1.000000
2; 3.000000; 1.000000
3; 30.000000; 1.000000
4; 73.000000; 2.000000
5; 720.000000; 1.000000
6; 1121.000000; 1.000000
7; 1826.000000; 1.000000
8; 3166.000000; 5.000000
9; 3380.000000; 1.000000
10; 3500.000000; 1.000000
11; 3626.000000; 1.000000
12; 4462.000000; 1.000000
13; 4754.000000; 1.000000
14; 4756.000000; 2.000000
15; 5928.000000; 2.000000
16; 5971.000000; 1.000000
17; 6195.000000; 1.000000
18; 6263.000000; 1.000000
19; 6290.000000; 1.000000
20; 6514.000000; 1.000000
21; 6584.000000; 1.000000
22; 6945.000000; 2.000000
23; 7157.000000; 1.000000
24; 7622.000000; 2.000000
25; 7678.000000; 1.000000
26; 7889.000000; 2.000000
27; 8120.000000; 2.000000
28; 8540.000000; 3.000000
29; 8544.000000; 6.000000
30; 8553.000000; 154.000000
31; 8708.000000; 3.000000
32; 8712.000000; 11.000000
33; 8726.000000; 6.000000
34; 8733.000000; 3.000000
35; 8737.000000; 7.000000
36; 8757.000000; 1.000000
37; 8771.000000; 1.000000
38; 8786.000000; 1.000000
39; 8791.000000; 8.000000
40; 8804.000000; 1.000000
41; 8821.000000; 2.000000
42; 8860.000000; 3.000000
43; 8867.000000; 1.000000
44; 9331.000000; 2.000000
45; 9650.000000; 1.000000
46; 9757.000000; 1.000000
47; 10087.000000; 3.000000
48; 10544.000000; 1.000000
49; 10756.000000; 1.000000
50; 11889.000000; 1.000000
51; 12089.000000; 1.000000
52; 13439.000000; 1.000000
53; 13744.000000; 1.000000
54; 13854.000000; 1.000000
55; 14349.000000; 1.000000
56; 14711.000000; 2.000000
57; 15797.000000; 1.000000
58; 16756.000000; 1.000000
59; 18289.000000; 2.000000
60; 19069.000000; 1.000000
61; 19186.000000; 1.000000
62; 19539.000000; 1.000000
63; 19541.000000; 1.000000
64; 19806.000000; 2.000000
65; 20702.000000; 1.000000
66; 21370.000000; 1.000000
67; 21376.000000; 2.000000
68; 21546.000000; 1.000000
69; 21796.000000; 1.000000
70; 22055.000000; 1.000000
71; 22237.000000; 3.000000
72; 22384.000000; 1.000000
73; 22807.000000; 2.000000
74; 24443.000000; 1.000000
75; 25111.000000; 2.000000
76; 25250.000000; 2.000000
77; 25371.000000; 2.000000
78; 25536.000000; 1.000000
79; 25950.000000; 2.000000
80; 26322.000000; 1.000000
81; 26487.000000; 1.000000
82; 27180.000000; 1.000000
83; 27957.000000; 1.000000
84; 28231.000000; 1.000000
85; 28687.000000; 1.000000
86; 29617.000000; 1.000000
87; 29948.000000; 2.000000
88; 30253.000000; 1.000000
89; 31301.000000; 1.000000
90; 31383.000000; 2.000000
91; 31445.000000; 2.000000
92; 31562.000000; 1.000000
93; 33639.000000; 1.000000
94; 33664.000000; 1.000000
95; 33734.000000; 1.000000
96; 33840.000000; 1.000000
97; 34039.000000; 1.000000
98; 34220.000000; 1.000000
99; 34256.000000; 1.000000
100; 34420.000000; 1.000000
101; 34444.000000; 1.000000
102; 34656.000000; 1.000000
103; 34698.000000; 2.000000
104; 34769.000000; 1.000000
105; 34997.000000; 1.000000
