noise number; onset time ms; duration ms
1; 1.000000; 1.000000
2; 389.000000; 2.000000
3; 943.000000; 1.000000
4; 1108.000000; 1.000000
5; 1195.000000; 1.000000
6; 1242.000000; 1.000000
7; 2972.000000; 1.000000
8; 3331.000000; 1.000000
9; 5831.000000; 1.000000
10; 6667.000000; 1.000000
11; 6742.000000; 1.000000
12; 6744.000000; 1.000000
13; 6948.000000; 3.000000
14; 6984.000000; 1.000000
15; 7093.000000; 1.000000
16; 7200.000000; 1.000000
17; 7988.000000; 1.000000
18; 9031.000000; 1.000000
19; 9478.000000; 1.000000
20; 11580.000000; 2.000000
21; 11985.000000; 3.000000
22; 12150.000000; 2.000000
23; 12845.000000; 2.000000
24; 12935.000000; 1.000000
25; 12983.000000; 2.000000
26; 12992.000000; 2.000000
27; 13443.000000; 2.000000
28; 14125.000000; 1.000000
29; 14279.000000; 2.000000
30; 14314.000000; 1.000000
31; 14362.000000; 1.000000
32; 14747.000000; 1.000000
33; 14960.000000; 2.000000
34; 15289.000000; 1.000000
35; 15956.000000; 1.000000
36; 17383.000000; 1.000000
37; 17649.000000; 1.000000
38; 17771.000000; 2.000000
39; 18066.000000; 2.000000
40; 19362.000000; 1.000000
41; 19495.000000; 2.000000
42; 19763.000000; 2.000000
43; 19903.000000; 4.000000
44; 20032.000000; 1.000000
45; 20111.000000; 1.000000
46; 20139.000000; 1.000000
47; 20397.000000; 1.000000
48; 21048.000000; 1.000000
49; 21050.000000; 1.000000
50; 21052.000000; 1.000000
51; 21056.000000; 1.000000
52; 21515.000000; 1.000000
53; 22175.000000; 5.000000
54; 23297.000000; 1.000000
55; 25995.000000; 1.000000
56; 27466.000000; 1.000000
57; 27597.000000; 1.000000
58; 27632.000000; 1.000000
59; 28116.000000; 1.000000
60; 29531.000000; 1.000000
61; 29533.000000; 1.000000
62; 29539.000000; 1.000000
63; 30421.000000; 1.000000
64; 30444.000000; 1.000000
65; 30446.000000; 2.000000
66; 31399.000000; 1.000000
67; 31692.000000; 2.000000
68; 33832.000000; 2.000000
69; 33856.000000; 2.000000
70; 34209.000000; 1.000000
71; 34338.000000; 1.000000
72; 34769.000000; 1.000000
73; 1373.000000; 3.000000
74; 1394.000000; 57.000000
75; 1452.000000; 69.000000
76; 1522.000000; 43.000000
77; 1569.000000; 32.000000
78; 1605.000000; 1.000000
79; 1621.000000; 75.000000
80; 1699.000000; 43.000000
81; 1750.000000; 49.000000
82; 2904.000000; 19.000000
83; 2944.000000; 27.000000
84; 2974.000000; 32.000000
85; 3010.000000; 8.000000
86; 3021.000000; 93.000000
87; 3115.000000; 45.000000
88; 3161.000000; 47.000000
89; 3209.000000; 10.000000
90; 5504.000000; 5.000000
91; 6586.000000; 80.000000
92; 6669.000000; 55.000000
93; 6725.000000; 7.000000
94; 6752.000000; 93.000000
95; 6848.000000; 88.000000
96; 6939.000000; 3.000000
97; 7538.000000; 48.000000
98; 7717.000000; 18.000000
99; 7751.000000; 83.000000
100; 7835.000000; 86.000000
101; 7944.000000; 43.000000
102; 8142.000000; 32.000000
103; 8417.000000; 1.000000
104; 9642.000000; 5.000000
105; 10428.000000; 59.000000
106; 11556.000000; 1.000000
107; 11594.000000; 60.000000
108; 11658.000000; 78.000000
109; 11740.000000; 91.000000
110; 12639.000000; 46.000000
111; 12686.000000; 25.000000
112; 12712.000000; 68.000000
113; 12781.000000; 61.000000
114; 12859.000000; 52.000000
115; 12912.000000; 22.000000
116; 12937.000000; 34.000000
117; 12972.000000; 6.000000
118; 12997.000000; 26.000000
119; 13026.000000; 19.000000
120; 13048.000000; 15.000000
121; 13064.000000; 60.000000
122; 13125.000000; 73.000000
123; 13199.000000; 1.000000
124; 13209.000000; 2.000000
125; 14204.000000; 56.000000
126; 14865.000000; 54.000000
127; 16362.000000; 1.000000
128; 17661.000000; 1.000000
129; 17669.000000; 44.000000
130; 17717.000000; 7.000000
131; 17755.000000; 39.000000
132; 17798.000000; 45.000000
133; 17844.000000; 29.000000
134; 17893.000000; 8.000000
135; 18218.000000; 1.000000
136; 19234.000000; 71.000000
137; 19306.000000; 40.000000
138; 19377.000000; 52.000000
139; 19430.000000; 22.000000
140; 19453.000000; 32.000000
141; 19511.000000; 44.000000
142; 19556.000000; 89.000000
143; 19663.000000; 78.000000
144; 23020.000000; 45.000000
145; 23066.000000; 17.000000
146; 23093.000000; 31.000000
147; 23128.000000; 2.000000
148; 23159.000000; 7.000000
149; 23177.000000; 36.000000
150; 23218.000000; 6.000000
151; 23234.000000; 38.000000
152; 23280.000000; 9.000000
153; 23305.000000; 2.000000
154; 24340.000000; 3.000000
155; 24400.000000; 4.000000
156; 24564.000000; 67.000000
157; 24632.000000; 1.000000
158; 24634.000000; 68.000000
159; 24703.000000; 46.000000
160; 25917.000000; 38.000000
161; 26183.000000; 20.000000
162; 26206.000000; 7.000000
163; 26220.000000; 44.000000
164; 26265.000000; 2.000000
165; 26288.000000; 68.000000
166; 26359.000000; 65.000000
167; 30521.000000; 8.000000
