noise number; onset time ms; duration ms
213; 5395.000000; 4.000000
214; 5409.000000; 2.000000
215; 5425.000000; 1.000000
216; 5457.000000; 1.000000
217; 5479.000000; 1.000000
218; 5712.000000; 6.000000
219; 5726.000000; 3.000000
220; 6562.000000; 5.000000
221; 6846.000000; 3.000000
222; 7020.000000; 5.000000
223; 7162.000000; 4.000000
224; 7989.000000; 1.000000
225; 8431.000000; 5.000000
226; 8544.000000; 5.000000
227; 8641.000000; 2.000000
228; 8649.000000; 123.000000
229; 8935.000000; 3.000000
230; 9547.000000; 5.000000
231; 9576.000000; 2.000000
232; 9647.000000; 1.000000
233; 9694.000000; 1.000000
234; 9776.000000; 1.000000
235; 9953.000000; 1.000000
236; 9965.000000; 1.000000
237; 9977.000000; 1.000000
238; 9988.000000; 1.000000
239; 10035.000000; 2.000000
240; 10082.000000; 1.000000
241; 10094.000000; 1.000000
242; 10259.000000; 2.000000
243; 10271.000000; 1.000000
244; 10305.000000; 3.000000
245; 10329.000000; 3.000000
246; 10341.000000; 1.000000
247; 10365.000000; 2.000000
248; 10388.000000; 2.000000
249; 10400.000000; 2.000000
250; 10412.000000; 1.000000
251; 10435.000000; 1.000000
252; 10459.000000; 2.000000
253; 10482.000000; 2.000000
254; 10493.000000; 2.000000
255; 10538.000000; 3.000000
256; 10553.000000; 2.000000
257; 10676.000000; 3.000000
258; 11599.000000; 4.000000
259; 11610.000000; 2.000000
260; 11807.000000; 5.000000
261; 11835.000000; 3.000000
262; 11871.000000; 2.000000
263; 11919.000000; 1.000000
264; 12029.000000; 4.000000
265; 12034.000000; 4.000000
266; 12039.000000; 3.000000
267; 12045.000000; 1.000000
268; 13271.000000; 1.000000
269; 14568.000000; 4.000000
270; 14577.000000; 2.000000
271; 14601.000000; 1.000000
272; 14774.000000; 3.000000
273; 15344.000000; 1.000000
274; 15479.000000; 4.000000
275; 16376.000000; 4.000000
276; 16406.000000; 3.000000
277; 16418.000000; 2.000000
278; 16425.000000; 1.000000
279; 16435.000000; 2.000000
280; 16441.000000; 3.000000
281; 16447.000000; 2.000000
282; 16453.000000; 2.000000
283; 16465.000000; 2.000000
284; 16471.000000; 1.000000
285; 16477.000000; 2.000000
286; 16495.000000; 1.000000
287; 16499.000000; 2.000000
288; 16537.000000; 2.000000
289; 16558.000000; 3.000000
290; 16588.000000; 1.000000
291; 16623.000000; 1.000000
292; 16635.000000; 1.000000
293; 16647.000000; 2.000000
294; 16677.000000; 2.000000
295; 16716.000000; 2.000000
296; 16728.000000; 2.000000
297; 16764.000000; 1.000000
298; 16775.000000; 2.000000
299; 16799.000000; 2.000000
300; 16835.000000; 1.000000
301; 16894.000000; 1.000000
302; 16916.000000; 2.000000
303; 16929.000000; 1.000000
304; 16976.000000; 2.000000
305; 17022.000000; 2.000000
306; 17140.000000; 1.000000
307; 17164.000000; 2.000000
308; 17176.000000; 1.000000
309; 17188.000000; 1.000000
310; 17222.000000; 3.000000
311; 17235.000000; 1.000000
312; 17246.000000; 1.000000
313; 17258.000000; 2.000000
314; 17282.000000; 1.000000
315; 17289.000000; 1.000000
316; 17294.000000; 1.000000
317; 17317.000000; 1.000000
318; 17329.000000; 1.000000
319; 17335.000000; 1.000000
320; 17352.000000; 3.000000
321; 17376.000000; 1.000000
322; 17386.000000; 2.000000
323; 17422.000000; 2.000000
324; 17435.000000; 1.000000
325; 17457.000000; 3.000000
326; 17470.000000; 1.000000
327; 17480.000000; 3.000000
328; 17492.000000; 2.000000
329; 17517.000000; 1.000000
330; 17528.000000; 2.000000
331; 17539.000000; 4.000000
332; 17548.000000; 1.000000
333; 17550.000000; 4.000000
334; 17566.000000; 1.000000
335; 17575.000000; 3.000000
336; 17587.000000; 2.000000
337; 17599.000000; 3.000000
338; 17605.000000; 1.000000
339; 17623.000000; 1.000000
340; 17670.000000; 3.000000
341; 17688.000000; 2.000000
342; 17693.000000; 3.000000
343; 17699.000000; 2.000000
344; 17705.000000; 3.000000
345; 17717.000000; 3.000000
346; 17729.000000; 3.000000
347; 17735.000000; 1.000000
348; 17741.000000; 2.000000
349; 17746.000000; 3.000000
350; 17752.000000; 3.000000
351; 17764.000000; 3.000000
352; 17778.000000; 1.000000
353; 17835.000000; 2.000000
354; 17982.000000; 1.000000
355; 17989.000000; 98.000000
356; 18230.000000; 5.000000
357; 18236.000000; 4.000000
358; 18246.000000; 3.000000
359; 18253.000000; 3.000000
360; 18260.000000; 1.000000
361; 18267.000000; 1.000000
362; 18306.000000; 2.000000
363; 18437.000000; 6.000000
364; 18495.000000; 1.000000
365; 18507.000000; 1.000000
366; 18812.000000; 1.000000
367; 19212.000000; 1.000000
368; 19404.000000; 1.000000
369; 19576.000000; 3.000000
370; 19583.000000; 3.000000
371; 19594.000000; 2.000000
372; 19600.000000; 1.000000
373; 19605.000000; 4.000000
374; 19610.000000; 4.000000
375; 19617.000000; 3.000000
376; 19624.000000; 2.000000
377; 19629.000000; 3.000000
378; 19635.000000; 3.000000
379; 19641.000000; 3.000000
380; 19647.000000; 3.000000
381; 19653.000000; 2.000000
382; 19663.000000; 4.000000
383; 19670.000000; 3.000000
384; 19676.000000; 3.000000
385; 19682.000000; 3.000000
386; 19686.000000; 5.000000
387; 19694.000000; 3.000000
388; 19700.000000; 3.000000
389; 19706.000000; 2.000000
390; 19711.000000; 3.000000
391; 19717.000000; 3.000000
392; 19723.000000; 3.000000
393; 19730.000000; 2.000000
394; 19733.000000; 4.000000
395; 19741.000000; 3.000000
396; 19747.000000; 2.000000
397; 19753.000000; 2.000000
398; 19758.000000; 3.000000
399; 19764.000000; 2.000000
400; 19769.000000; 4.000000
401; 19776.000000; 3.000000
402; 19803.000000; 4.000000
403; 19810.000000; 3.000000
404; 19816.000000; 2.000000
405; 19827.000000; 2.000000
406; 19835.000000; 1.000000
407; 19839.000000; 3.000000
408; 19845.000000; 4.000000
409; 19850.000000; 3.000000
410; 19857.000000; 10.000000
411; 19891.000000; 4.000000
412; 19899.000000; 2.000000
413; 19906.000000; 3.000000
414; 19912.000000; 3.000000
415; 19920.000000; 1.000000
416; 19930.000000; 1.000000
417; 19947.000000; 1.000000
418; 19955.000000; 1.000000
419; 19971.000000; 1.000000
420; 20006.000000; 1.000000
421; 20012.000000; 1.000000
422; 20035.000000; 1.000000
423; 20047.000000; 1.000000
424; 20073.000000; 1.000000
425; 20092.000000; 1.000000
426; 20097.000000; 1.000000
427; 20118.000000; 1.000000
428; 20258.000000; 3.000000
429; 20269.000000; 3.000000
430; 20273.000000; 2.000000
431; 20281.000000; 2.000000
432; 20284.000000; 2.000000
433; 20292.000000; 3.000000
434; 20296.000000; 2.000000
435; 20304.000000; 3.000000
436; 20308.000000; 2.000000
437; 20316.000000; 3.000000
438; 20328.000000; 3.000000
439; 20352.000000; 2.000000
440; 20364.000000; 1.000000
441; 20375.000000; 2.000000
442; 20378.000000; 2.000000
443; 20388.000000; 1.000000
444; 20399.000000; 2.000000
445; 20422.000000; 3.000000
446; 20434.000000; 3.000000
