noise number; onset time ms; duration ms
1; 1.000000; 1.000000
2; 19.000000; 1.000000
3; 31.000000; 1.000000
4; 42.000000; 1.000000
5; 46.000000; 1.000000
6; 54.000000; 1.000000
7; 58.000000; 1.000000
8; 66.000000; 1.000000
9; 70.000000; 1.000000
10; 78.000000; 1.000000
11; 89.000000; 1.000000
12; 93.000000; 1.000000
13; 101.000000; 1.000000
14; 113.000000; 1.000000
15; 117.000000; 1.000000
16; 125.000000; 1.000000
17; 129.000000; 1.000000
18; 160.000000; 1.000000
19; 164.000000; 1.000000
20; 172.000000; 1.000000
21; 176.000000; 1.000000
22; 195.000000; 2.000000
23; 198.000000; 2.000000
24; 219.000000; 1.000000
25; 223.000000; 1.000000
26; 231.000000; 1.000000
27; 242.000000; 1.000000
28; 246.000000; 1.000000
29; 266.000000; 1.000000
30; 270.000000; 1.000000
31; 278.000000; 1.000000
32; 289.000000; 1.000000
33; 301.000000; 1.000000
34; 305.000000; 1.000000
35; 313.000000; 1.000000
36; 317.000000; 1.000000
37; 325.000000; 1.000000
38; 336.000000; 1.000000
39; 360.000000; 1.000000
40; 364.000000; 1.000000
41; 372.000000; 1.000000
42; 384.000000; 1.000000
43; 395.000000; 1.000000
44; 399.000000; 1.000000
45; 407.000000; 1.000000
46; 411.000000; 1.000000
47; 419.000000; 1.000000
48; 423.000000; 1.000000
49; 431.000000; 1.000000
50; 442.000000; 2.000000
51; 454.000000; 1.000000
52; 458.000000; 1.000000
53; 466.000000; 1.000000
54; 470.000000; 1.000000
55; 478.000000; 1.000000
56; 490.000000; 1.000000
57; 513.000000; 1.000000
58; 525.000000; 1.000000
59; 529.000000; 1.000000
60; 537.000000; 1.000000
61; 548.000000; 1.000000
62; 560.000000; 1.000000
63; 564.000000; 1.000000
64; 572.000000; 1.000000
65; 583.000000; 2.000000
66; 607.000000; 1.000000
67; 611.000000; 1.000000
68; 631.000000; 1.000000
69; 642.000000; 2.000000
70; 666.000000; 1.000000
71; 670.000000; 1.000000
72; 678.000000; 1.000000
73; 694.000000; 1.000000
74; 713.000000; 1.000000
75; 725.000000; 1.000000
76; 729.000000; 1.000000
77; 760.000000; 1.000000
78; 764.000000; 1.000000
79; 772.000000; 1.000000
80; 783.000000; 1.000000
81; 787.000000; 2.000000
82; 807.000000; 1.000000
83; 811.000000; 1.000000
84; 819.000000; 1.000000
85; 831.000000; 1.000000
86; 854.000000; 1.000000
87; 858.000000; 1.000000
88; 866.000000; 1.000000
89; 870.000000; 1.000000
90; 878.000000; 1.000000
91; 901.000000; 1.000000
92; 913.000000; 1.000000
93; 917.000000; 1.000000
94; 960.000000; 1.000000
95; 964.000000; 1.000000
96; 972.000000; 1.000000
97; 976.000000; 1.000000
98; 984.000000; 1.000000
99; 995.000000; 1.000000
100; 999.000000; 1.000000
101; 1007.000000; 1.000000
102; 1011.000000; 1.000000
103; 1019.000000; 1.000000
104; 1023.000000; 1.000000
105; 1031.000000; 1.000000
106; 1045.000000; 2.000000
107; 1066.000000; 1.000000
108; 1070.000000; 1.000000
109; 1078.000000; 1.000000
110; 1090.000000; 1.000000
111; 1113.000000; 1.000000
112; 1125.000000; 1.000000
113; 1129.000000; 1.000000
114; 1137.000000; 1.000000
115; 1141.000000; 1.000000
116; 1172.000000; 1.000000
117; 1176.000000; 1.000000
118; 1184.000000; 1.000000
119; 1219.000000; 1.000000
120; 1223.000000; 1.000000
121; 1253.000000; 1.000000
122; 1257.000000; 1.000000
123; 1281.000000; 1.000000
124; 1437.000000; 2.000000
125; 1440.000000; 1.000000
126; 1461.000000; 1.000000
127; 1508.000000; 1.000000
128; 1566.000000; 2.000000
129; 1578.000000; 1.000000
130; 1614.000000; 1.000000
131; 1649.000000; 1.000000
132; 1672.000000; 1.000000
133; 1684.000000; 1.000000
134; 1778.000000; 1.000000
135; 1801.000000; 2.000000
136; 1813.000000; 1.000000
137; 1970.000000; 1.000000
138; 2131.000000; 1.000000
139; 2484.000000; 1.000000
140; 2578.000000; 1.000000
141; 2590.000000; 1.000000
142; 2637.000000; 1.000000
143; 3234.000000; 1.000000
144; 3242.000000; 1.000000
145; 3246.000000; 1.000000
146; 3253.000000; 2.000000
147; 3258.000000; 1.000000
148; 3265.000000; 1.000000
149; 3269.000000; 1.000000
150; 3289.000000; 1.000000
151; 3293.000000; 1.000000
152; 3301.000000; 1.000000
153; 3325.000000; 1.000000
154; 3336.000000; 2.000000
155; 3348.000000; 1.000000
156; 3352.000000; 1.000000
157; 3360.000000; 1.000000
158; 3372.000000; 1.000000
159; 3399.000000; 2.000000
160; 3412.000000; 1.000000
161; 3430.000000; 1.000000
162; 3434.000000; 2.000000
163; 3442.000000; 2.000000
164; 3454.000000; 1.000000
165; 3458.000000; 1.000000
166; 3466.000000; 1.000000
167; 3470.000000; 1.000000
168; 3477.000000; 2.000000
169; 3489.000000; 2.000000
170; 3494.000000; 1.000000
171; 3501.000000; 2.000000
172; 3517.000000; 1.000000
173; 3524.000000; 2.000000
174; 3536.000000; 2.000000
175; 3541.000000; 1.000000
176; 3548.000000; 2.000000
177; 3560.000000; 1.000000
178; 3572.000000; 1.000000
179; 3576.000000; 1.000000
180; 3596.000000; 1.000000
181; 3607.000000; 1.000000
182; 3630.000000; 2.000000
183; 3654.000000; 1.000000
184; 3658.000000; 2.000000
185; 3665.000000; 2.000000
186; 3670.000000; 1.000000
187; 3677.000000; 2.000000
188; 3690.000000; 1.000000
189; 3712.000000; 2.000000
190; 3725.000000; 1.000000
191; 3729.000000; 1.000000
192; 3741.000000; 1.000000
193; 3772.000000; 1.000000
194; 3776.000000; 1.000000
195; 3784.000000; 1.000000
196; 3794.000000; 2.000000
197; 3799.000000; 1.000000
198; 3823.000000; 1.000000
199; 3835.000000; 1.000000
200; 3846.000000; 1.000000
201; 3854.000000; 1.000000
202; 3866.000000; 1.000000
203; 3870.000000; 1.000000
204; 3881.000000; 2.000000
205; 3888.000000; 2.000000
206; 3893.000000; 1.000000
207; 3929.000000; 1.000000
208; 3948.000000; 1.000000
209; 3952.000000; 1.000000
210; 3971.000000; 1.000000
211; 3983.000000; 2.000000
212; 3995.000000; 1.000000
213; 3999.000000; 1.000000
214; 4006.000000; 2.000000
215; 4011.000000; 1.000000
216; 4019.000000; 1.000000
217; 4023.000000; 1.000000
218; 4031.000000; 1.000000
219; 4042.000000; 2.000000
220; 4078.000000; 1.000000
221; 4082.000000; 1.000000
222; 4106.000000; 1.000000
223; 4125.000000; 1.000000
224; 4129.000000; 1.000000
225; 4137.000000; 1.000000
226; 4148.000000; 1.000000
227; 4160.000000; 1.000000
228; 4172.000000; 1.000000
229; 4184.000000; 1.000000
230; 4195.000000; 2.000000
231; 4198.000000; 2.000000
232; 4218.000000; 2.000000
233; 4223.000000; 1.000000
234; 4231.000000; 1.000000
