noise number; onset time ms; duration ms
1; 1.000000; 1.000000
2; 726.000000; 1.000000
3; 828.000000; 1.000000
4; 934.000000; 1.000000
5; 956.000000; 1.000000
6; 1416.000000; 2.000000
7; 1726.000000; 4.000000
8; 1914.000000; 1.000000
9; 2922.000000; 2.000000
10; 3075.000000; 2.000000
11; 3122.000000; 1.000000
12; 3158.000000; 1.000000
13; 3532.000000; 7.000000
14; 3647.000000; 3.000000
15; 3761.000000; 1.000000
16; 3778.000000; 2.000000
17; 3873.000000; 1.000000
18; 4350.000000; 1.000000
19; 4727.000000; 3.000000
20; 5480.000000; 1.000000
21; 5580.000000; 3.000000
22; 6193.000000; 1.000000
23; 6290.000000; 2.000000
24; 6393.000000; 1.000000
25; 6794.000000; 1.000000
26; 6900.000000; 1.000000
27; 7111.000000; 1.000000
28; 7705.000000; 1.000000
29; 7805.000000; 1.000000
30; 8087.000000; 1.000000
31; 8591.000000; 1.000000
32; 9534.000000; 1.000000
33; 9653.000000; 1.000000
34; 10300.000000; 1.000000
35; 10312.000000; 1.000000
36; 10335.000000; 1.000000
37; 10616.000000; 1.000000
38; 10884.000000; 2.000000
39; 11217.000000; 1.000000
40; 12993.000000; 1.000000
41; 13225.000000; 3.000000
42; 13358.000000; 1.000000
43; 13456.000000; 2.000000
44; 13817.000000; 2.000000
45; 13820.000000; 1.000000
46; 13899.000000; 1.000000
47; 14428.000000; 2.000000
48; 14431.000000; 1.000000
49; 14848.000000; 1.000000
50; 15129.000000; 1.000000
51; 15242.000000; 1.000000
52; 15279.000000; 6.000000
53; 15699.000000; 2.000000
54; 16010.000000; 1.000000
55; 16459.000000; 1.000000
56; 16584.000000; 1.000000
57; 16969.000000; 1.000000
58; 17019.000000; 1.000000
59; 17160.000000; 1.000000
60; 17337.000000; 1.000000
61; 17675.000000; 1.000000
62; 17871.000000; 1.000000
63; 17876.000000; 1.000000
64; 18017.000000; 2.000000
65; 18083.000000; 1.000000
66; 18453.000000; 1.000000
