noise number; onset time ms; duration ms
1; 1.000000; 1.000000
2; 235.000000; 3.000000
3; 1384.000000; 1.000000
4; 1629.000000; 1.000000
5; 2977.000000; 1.000000
6; 3048.000000; 1.000000
7; 3107.000000; 1.000000
8; 5639.000000; 9.000000
9; 5813.000000; 1.000000
10; 5913.000000; 1.000000
11; 6419.000000; 1.000000
12; 6648.000000; 2.000000
13; 6695.000000; 2.000000
14; 6825.000000; 1.000000
15; 6837.000000; 1.000000
16; 8602.000000; 1.000000
17; 9536.000000; 1.000000
18; 9566.000000; 1.000000
19; 9884.000000; 1.000000
20; 10402.000000; 1.000000
21; 10729.000000; 3.000000
22; 10831.000000; 1.000000
23; 10925.000000; 1.000000
24; 10984.000000; 1.000000
25; 11731.000000; 2.000000
26; 13266.000000; 4.000000
27; 13861.000000; 1.000000
28; 15120.000000; 1.000000
29; 15631.000000; 2.000000
30; 16013.000000; 1.000000
31; 16260.000000; 1.000000
32; 17778.000000; 2.000000
33; 17790.000000; 1.000000
34; 18120.000000; 1.000000
35; 18143.000000; 1.000000
36; 18178.000000; 2.000000
37; 19365.000000; 1.000000
38; 19548.000000; 1.000000
39; 19642.000000; 1.000000
40; 19710.000000; 4.000000
41; 20034.000000; 1.000000
42; 20469.000000; 1.000000
43; 20949.000000; 2.000000
44; 21143.000000; 2.000000
45; 23206.000000; 1.000000
46; 23951.000000; 1.000000
47; 24390.000000; 2.000000
48; 25732.000000; 1.000000
49; 26340.000000; 1.000000
50; 27187.000000; 1.000000
51; 28540.000000; 1.000000
52; 31662.000000; 2.000000
53; 33152.000000; 1.000000
54; 33549.000000; 1.000000
55; 33670.000000; 203.000000
56; 33874.000000; 4.000000
57; 34192.000000; 1.000000
58; 34968.000000; 1.000000
59; 35073.000000; 1.000000
60; 1250.000000; 75.000000
61; 1333.000000; 39.000000
62; 1402.000000; 1.000000
63; 1414.000000; 38.000000
64; 1456.000000; 54.000000
65; 1514.000000; 55.000000
66; 1573.000000; 52.000000
67; 2918.000000; 14.000000
68; 2958.000000; 13.000000
69; 2979.000000; 29.000000
70; 3015.000000; 44.000000
71; 3063.000000; 31.000000
72; 3098.000000; 31.000000
73; 3133.000000; 5.000000
74; 3150.000000; 14.000000
75; 3168.000000; 21.000000
76; 3190.000000; 23.000000
77; 3460.000000; 59.000000
78; 6579.000000; 68.000000
79; 6651.000000; 36.000000
80; 6688.000000; 2.000000
81; 6705.000000; 96.000000
82; 6802.000000; 57.000000
83; 8456.000000; 97.000000
84; 11557.000000; 1.000000
85; 11674.000000; 44.000000
86; 12989.000000; 3.000000
87; 13244.000000; 21.000000
88; 17705.000000; 1.000000
89; 17710.000000; 32.000000
90; 17746.000000; 43.000000
91; 17792.000000; 44.000000
92; 17840.000000; 43.000000
93; 17887.000000; 15.000000
94; 18062.000000; 19.000000
95; 18101.000000; 16.000000
96; 18122.000000; 79.000000
97; 18204.000000; 4.000000
98; 18228.000000; 1.000000
99; 19384.000000; 25.000000
100; 19531.000000; 1.000000
101; 19564.000000; 18.000000
102; 19586.000000; 55.000000
103; 19644.000000; 56.000000
104; 19736.000000; 6.000000
105; 20998.000000; 5.000000
106; 21152.000000; 5.000000
107; 22980.000000; 26.000000
108; 23010.000000; 31.000000
109; 23073.000000; 3.000000
110; 23085.000000; 49.000000
111; 23138.000000; 31.000000
112; 23178.000000; 15.000000
113; 24374.000000; 15.000000
114; 24393.000000; 10.000000
115; 24577.000000; 17.000000
116; 25973.000000; 66.000000
117; 26040.000000; 18.000000
118; 26059.000000; 32.000000
119; 26121.000000; 11.000000
120; 26141.000000; 20.000000
121; 26166.000000; 29.000000
122; 26204.000000; 38.000000
123; 26246.000000; 19.000000
124; 26281.000000; 4.000000
125; 26292.000000; 35.000000
126; 28500.000000; 15.000000
127; 28521.000000; 18.000000
128; 28542.000000; 86.000000
129; 33445.000000; 4.000000
130; 33628.000000; 28.000000
131; 33657.000000; 12.000000
132; 33879.000000; 63.000000
