noise number; onset time ms; duration ms
1; 1.000000; 1.000000
2; 323.000000; 1.000000
3; 584.000000; 1.000000
4; 668.000000; 1.000000
5; 699.000000; 1.000000
6; 1417.000000; 4.000000
7; 1570.000000; 2.000000
8; 1649.000000; 4.000000
9; 1859.000000; 1.000000
10; 3128.000000; 1.000000
11; 3130.000000; 1.000000
12; 3132.000000; 2.000000
13; 3342.000000; 1.000000
14; 3481.000000; 1.000000
15; 3573.000000; 1.000000
16; 3910.000000; 1.000000
17; 4021.000000; 1.000000
18; 4304.000000; 1.000000
19; 4343.000000; 1.000000
20; 5547.000000; 1.000000
21; 5549.000000; 1.000000
22; 5753.000000; 1.000000
23; 5924.000000; 1.000000
24; 6090.000000; 1.000000
25; 6154.000000; 1.000000
26; 6612.000000; 3.000000
27; 7248.000000; 1.000000
28; 7354.000000; 1.000000
29; 7683.000000; 1.000000
30; 8348.000000; 1.000000
31; 8634.000000; 2.000000
32; 8637.000000; 3.000000
33; 8641.000000; 3.000000
34; 8645.000000; 3.000000
35; 8649.000000; 124.000000
36; 8793.000000; 2.000000
37; 8936.000000; 2.000000
38; 9541.000000; 1.000000
39; 9753.000000; 2.000000
40; 10013.000000; 1.000000
41; 10036.000000; 1.000000
42; 10836.000000; 1.000000
43; 11059.000000; 1.000000
44; 11152.000000; 2.000000
45; 11224.000000; 1.000000
46; 11234.000000; 2.000000
47; 11301.000000; 1.000000
48; 11306.000000; 1.000000
49; 11324.000000; 1.000000
50; 11801.000000; 1.000000
51; 11837.000000; 1.000000
52; 12952.000000; 1.000000
53; 13241.000000; 3.000000
54; 13388.000000; 1.000000
55; 13625.000000; 1.000000
56; 14175.000000; 1.000000
57; 14775.000000; 2.000000
58; 14825.000000; 1.000000
59; 15378.000000; 1.000000
60; 15398.000000; 1.000000
61; 15400.000000; 1.000000
62; 15436.000000; 1.000000
63; 15665.000000; 1.000000
64; 15667.000000; 2.000000
65; 15674.000000; 1.000000
66; 15749.000000; 1.000000
67; 15874.000000; 2.000000
68; 16037.000000; 1.000000
69; 17968.000000; 11.000000
70; 17982.000000; 2.000000
71; 17989.000000; 99.000000
72; 18094.000000; 1.000000
73; 18096.000000; 2.000000
74; 18099.000000; 1.000000
75; 18103.000000; 1.000000
76; 18107.000000; 3.000000
77; 18460.000000; 1.000000
78; 18731.000000; 1.000000
79; 19783.000000; 2.000000
80; 19874.000000; 1.000000
81; 19876.000000; 2.000000
82; 19879.000000; 2.000000
83; 21637.000000; 1.000000
84; 21696.000000; 1.000000
85; 22120.000000; 6.000000
86; 22127.000000; 1.000000
87; 22917.000000; 2.000000
88; 24516.000000; 1.000000
89; 26125.000000; 2.000000
90; 26207.000000; 2.000000
91; 26414.000000; 1.000000
92; 26664.000000; 1.000000
93; 27609.000000; 1.000000
94; 28250.000000; 1.000000
95; 28599.000000; 1.000000
96; 28629.000000; 2.000000
97; 28645.000000; 2.000000
98; 29490.000000; 1.000000
99; 29650.000000; 1.000000
100; 29684.000000; 2.000000
101; 29790.000000; 1.000000
102; 29849.000000; 1.000000
103; 30308.000000; 1.000000
104; 30485.000000; 1.000000
105; 31449.000000; 1.000000
106; 31451.000000; 1.000000
107; 31453.000000; 2.000000
108; 31545.000000; 5.000000
109; 32001.000000; 1.000000
110; 32025.000000; 1.000000
111; 32635.000000; 1.000000
112; 33764.000000; 1.000000
113; 33766.000000; 2.000000
114; 33791.000000; 1.000000
115; 35003.000000; 1.000000
116; 35067.000000; 2.000000
117; 35109.000000; 2.000000
118; 35117.000000; 2.000000
119; 35120.000000; 1.000000
120; 35168.000000; 12.000000
121; 35181.000000; 56.000000
122; 1204.000000; 61.000000
123; 1270.000000; 2.000000
124; 1573.000000; 75.000000
125; 1771.000000; 87.000000
126; 3059.000000; 68.000000
127; 3135.000000; 54.000000
128; 3190.000000; 57.000000
129; 3248.000000; 93.000000
130; 3344.000000; 91.000000
131; 3442.000000; 89.000000
132; 4516.000000; 1.000000
133; 8085.000000; 1.000000
134; 8350.000000; 68.000000
135; 8774.000000; 3.000000
136; 8788.000000; 4.000000
137; 9523.000000; 3.000000
138; 9527.000000; 4.000000
139; 9532.000000; 2.000000
140; 11791.000000; 1.000000
141; 11799.000000; 1.000000
142; 11803.000000; 33.000000
143; 12949.000000; 2.000000
144; 12954.000000; 2.000000
145; 12957.000000; 50.000000
146; 13188.000000; 52.000000
147; 14334.000000; 2.000000
148; 16374.000000; 33.000000
149; 16656.000000; 3.000000
150; 16664.000000; 4.000000
151; 17807.000000; 2.000000
152; 17820.000000; 75.000000
153; 17896.000000; 71.000000
154; 17980.000000; 1.000000
155; 17985.000000; 3.000000
156; 18089.000000; 2.000000
157; 18101.000000; 1.000000
158; 18105.000000; 1.000000
159; 18111.000000; 96.000000
160; 19553.000000; 4.000000
161; 19796.000000; 77.000000
162; 21269.000000; 4.000000
163; 22956.000000; 96.000000
164; 23073.000000; 1.000000
165; 23220.000000; 5.000000
166; 23226.000000; 1.000000
167; 23399.000000; 4.000000
168; 24383.000000; 4.000000
169; 24398.000000; 2.000000
170; 24417.000000; 3.000000
171; 24421.000000; 14.000000
172; 24436.000000; 1.000000
173; 24438.000000; 45.000000
174; 24484.000000; 31.000000
175; 24518.000000; 51.000000
176; 24570.000000; 29.000000
177; 24612.000000; 56.000000
178; 24669.000000; 63.000000
179; 24886.000000; 3.000000
180; 25906.000000; 52.000000
181; 26106.000000; 1.000000
182; 26117.000000; 7.000000
183; 26128.000000; 75.000000
184; 26327.000000; 86.000000
185; 29488.000000; 1.000000
186; 30481.000000; 3.000000
187; 31456.000000; 40.000000
188; 31497.000000; 47.000000
189; 35065.000000; 14.000000
190; 35080.000000; 4.000000
191; 35085.000000; 23.000000
192; 35112.000000; 4.000000
